,date,reward,reward,reward,reward,reward
E-Greedy-Mean,2024-10-02,224.7789285714286,253.8398015873016,271.8440873015873,297.5551587301587,321.9799603174603
E-Greedy-Mean,2024-10-03,300.02559523809526,338.3520238095238,358.77742063492065,385.98599206349206,408.9244047619048
E-Greedy-Mean,2024-10-04,385.1311507936508,433.21174603174603,451.6063095238095,472.0287698412698,489.4463492063492
E-Greedy-Mean,2024-10-05,458.14003968253974,508.55619047619047,535.6179761904762,554.285992063492,579.4857936507937
E-Greedy-Mean,2024-10-06,536.4125396825398,591.400634920635,610.1351984126984,631.9526587301586,660.5569047619048
E-Greedy-Mean,2024-10-07,622.5822619047619,685.290634920635,703.6913095238095,726.0380952380951,753.5961904761905
E-Greedy-Mean,2024-10-08,720.3155952380953,777.6573015873016,800.579126984127,829.4700396825396,849.9756349206349
E-Greedy-Mean,2024-10-09,823.033373015873,872.7348015873016,893.005515873016,935.2242063492063,952.4006349206348
E-Greedy-Mean,2024-10-10,929.5944841269842,979.9180158730159,996.7194047619048,1040.7297619047617,1054.2703571428572
E-Greedy-Mean,2024-10-11,1037.5217063492064,1089.2546825396826,1106.046904761905,1147.7578174603173,1158.5364682539682
E-Greedy-Mean,2024-10-12,1126.0442063492064,1174.7710714285715,1201.756626984127,1235.7911507936506,1250.764246031746
E-Greedy-Mean,2024-10-13,1213.6439285714287,1265.6721825396826,1295.1903174603176,1330.340595238095,1344.900634920635
E-Greedy-Mean,2024-10-14,1297.5658730158732,1355.724126984127,1379.7344841269842,1416.0739285714283,1431.861746031746
E-Greedy-Mean,2024-10-15,1392.6547619047622,1452.4327380952382,1490.7325396825397,1508.5911507936505,1532.8261904761903
E-Greedy-Mean,2024-10-16,1465.8047619047622,1526.0869047619049,1568.2467063492063,1586.3108730158726,1619.0570238095236
E-Greedy-Mean,2024-10-17,1547.9455952380956,1611.6669047619048,1654.8475396825397,1671.3907142857138,1704.2345238095236
E-Greedy-Mean,2024-10-18,1634.1678174603178,1694.845238095238,1746.7075396825396,1756.4226587301582,1792.6461904761902
E-Greedy-Mean,2024-10-19,1698.4430952380956,1762.3465873015873,1815.9580952380952,1817.4682142857137,1868.363968253968
E-Greedy-Mean,2024-10-20,1788.6772619047622,1857.960753968254,1909.5000396825396,1909.926547619047,1956.289246031746
E-Greedy-Mean,2024-10-21,1870.6414285714288,1948.2007142857144,1995.7038888888887,2007.300674603174,2050.081984126984
E-Greedy-Mean,2024-10-22,1949.8080952380956,2024.5343253968256,2071.375833333333,2096.5634523809517,2129.3625396825396
E-Greedy-Mean,2024-10-23,2054.397261904762,2130.1143253968257,2183.0424999999996,2219.3823412698407,2241.2489285714287
E-Greedy-Mean,2024-10-24,2139.9983730158733,2208.52376984127,2272.4886111111105,2315.7501190476187,2343.271984126984
E-Greedy-Mean,2024-10-25,2234.3583730158734,2314.3171031746037,2372.745555555555,2412.61123015873,2444.32373015873
E-Greedy-Mean,2024-10-26,2328.671071428572,2400.2037698412705,2459.094166666666,2507.35123015873,2541.7214285714285
E-Greedy-Mean,2024-10-27,2413.399126984127,2495.6315476190484,2545.0833333333326,2600.049563492063,2623.776984126984
E-Greedy-Mean,2024-10-28,2515.0077380952384,2594.9104365079374,2638.3422222222216,2698.527619047619,2726.3664285714285
E-Greedy-Mean,2024-10-29,2603.275515873016,2683.037103174604,2741.625555555555,2786.92373015873,2826.7278174603175
E-Greedy-Mean,2024-10-30,2694.9574603174606,2782.2435317460327,2843.4911111111105,2882.471507936508,2926.978373015873
E-Greedy-Mean,2024-10-31,2785.063571428572,2882.7551984126994,2940.7527777777773,2989.34123015873,3015.26123015873
E-Greedy-Mean,2024-11-01,2864.403571428572,2963.309365079366,3016.5780555555552,3068.8331746031745,3094.2345634920634
E-Greedy-Mean,2024-11-02,2936.328571428572,3047.227222222223,3089.8499999999995,3149.859841269841,3170.938253968254
E-Greedy-Mean,2024-11-03,3029.4327380952386,3118.191944444445,3165.781944444444,3238.22246031746,3243.6610317460318
E-Greedy-Mean,2024-11-04,3106.9838492063495,3197.87638888889,3254.9324999999994,3319.9346825396824,3326.6829761904764
E-Greedy-Mean,2024-11-05,3194.5952380952385,3295.0627777777786,3348.1946031746024,3413.284126984127,3419.97130952381
E-Greedy-Mean,2024-11-06,3279.8335317460323,3382.033611111112,3434.3557142857135,3501.920238095238,3494.2215873015875
E-Greedy-Mean,2024-11-07,3358.4668650793656,3456.6280555555563,3519.9471825396818,3586.720238095238,3581.779920634921
LinUCB,2024-10-01,104.77777777777777,104.77777777777777,104.77777777777777,104.77777777777777,104.77777777777777
LinUCB,2024-10-02,220.27777777777777,220.27777777777777,220.27777777777777,220.27777777777777,220.27777777777777
LinUCB,2024-10-03,298.16666666666663,298.16666666666663,298.16666666666663,298.16666666666663,298.16666666666663
LinUCB,2024-10-04,380.4444444444444,380.4444444444444,380.4444444444444,380.4444444444444,380.4444444444444
LinUCB,2024-10-05,460.05555555555554,460.05555555555554,460.05555555555554,460.05555555555554,460.05555555555554
LinUCB,2024-10-06,535.1111111111111,535.1111111111111,535.1111111111111,535.1111111111111,535.1111111111111
