,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
LinUCB,2024-11-20,1962.2963890463598,1962.2963890463598,1962.2963890463598,1962.2963890463598,1962.2963890463598,1962.2963890463598,1962.2963890463598,1962.2963890463598,1962.2963890463598,1962.2963890463598
LinUCB,2024-11-21,2009.867738252709,2009.867738252709,2009.867738252709,2009.867738252709,2009.867738252709,2009.867738252709,2009.867738252709,2009.867738252709,2009.867738252709,2009.867738252709
LinUCB,2024-11-22,2064.140321869489,2064.140321869489,2064.140321869489,2064.140321869489,2064.140321869489,2064.140321869489,2064.140321869489,2064.140321869489,2064.140321869489,2064.140321869489
LinUCB,2024-11-23,2107.7748059964733,2107.7748059964733,2107.7748059964733,2107.7748059964733,2107.7748059964733,2107.7748059964733,2107.7748059964733,2107.7748059964733,2107.7748059964733,2107.7748059964733
LinUCB,2024-11-24,2136.3667724867732,2136.3667724867732,2136.3667724867732,2136.3667724867732,2136.3667724867732,2136.3667724867732,2136.3667724867732,2136.3667724867732,2136.3667724867732,2136.3667724867732
LinUCB,2024-11-25,2174.8483553791893,2174.8483553791893,2174.8483553791893,2174.8483553791893,2174.8483553791893,2174.8483553791893,2174.8483553791893,2174.8483553791893,2174.8483553791893,2174.8483553791893
LinUCB,2024-11-26,2231.950022045856,2231.950022045856,2231.950022045856,2231.950022045856,2231.950022045856,2231.950022045856,2231.950022045856,2231.950022045856,2231.950022045856,2231.950022045856
LinUCB,2024-11-27,2283.1407405832706,2283.1407405832706,2283.1407405832706,2283.1407405832706,2283.1407405832706,2283.1407405832706,2283.1407405832706,2283.1407405832706,2283.1407405832706,2283.1407405832706
LinUCB,2024-11-28,2336.289708837239,2336.289708837239,2336.289708837239,2336.289708837239,2336.289708837239,2336.289708837239,2336.289708837239,2336.289708837239,2336.289708837239,2336.289708837239
LinUCB,2024-11-29,2379.55831994835,2379.55831994835,2379.55831994835,2379.55831994835,2379.55831994835,2379.55831994835,2379.55831994835,2379.55831994835,2379.55831994835,2379.55831994835
LinUCB,2024-11-30,2421.07955010708,2421.07955010708,2421.07955010708,2421.07955010708,2421.07955010708,2421.07955010708,2421.07955010708,2421.07955010708,2421.07955010708,2421.07955010708
UCB1,2024-10-02,43.27777777777778,46.66888888888889,15.594444444444445,41.35333333333333,18.037777777777777,41.85333333333333,16.094444444444445,43.696666666666665,16.194444444444443,41.35333333333333
UCB1,2024-10-03,74.45833333333334,76.98833333333333,47.16388888888889,71.67277777777778,49.60722222222222,72.17277777777778,47.66388888888889,74.01611111111112,47.763888888888886,71.67277777777778
UCB1,2024-10-04,111.5763888888889,116.60638888888889,86.78194444444445,111.29083333333334,89.22527777777778,111.79083333333334,87.28194444444445,113.63416666666667,87.38194444444444,111.29083333333334
UCB1,2024-10-05,141.7777777777778,147.08555555555554,117.26111111111112,141.77,119.70444444444445,142.27,117.76111111111112,144.11333333333334,117.86111111111111,141.77
UCB1,2024-10-06,171.1527777777778,178.23833333333332,148.4138888888889,172.92277777777778,150.85722222222222,173.42277777777778,148.9138888888889,175.26611111111112,149.01388888888889,172.92277777777778
UCB1,2024-10-07,207.27083333333337,213.0786111111111,183.25416666666666,207.76305555555555,185.6975,208.26305555555555,183.75416666666666,210.1063888888889,183.85416666666666,207.76305555555555
UCB1,2024-10-08,250.13722222222225,258.2783333333333,227.6538888888889,252.96277777777777,230.09722222222223,253.46277777777777,228.1538888888889,255.3061111111111,228.25388888888887,252.96277777777777
UCB1,2024-10-09,294.88194444444446,306.2938888888889,275.6694444444445,300.97833333333335,278.1127777777778,301.47833333333335,276.1694444444445,303.32166666666666,276.26944444444445,300.97833333333335
UCB1,2024-10-10,333.84583333333336,342.9911111111111,312.3666666666667,337.67555555555555,314.81000000000006,338.17555555555555,312.8666666666667,340.0188888888889,312.9666666666667,337.67555555555555
UCB1,2024-10-11,376.7177777777778,381.36305555555555,350.93861111111113,376.0475,353.3819444444445,376.5475,351.43861111111113,378.3908333333334,351.53861111111115,376.0475
UCB1,2024-10-12,406.0761111111112,408.7213888888889,378.69694444444445,403.40583333333336,381.14027777777784,403.90583333333336,379.19694444444445,405.7491666666667,379.2969444444445,403.40583333333336
UCB1,2024-10-13,431.7619444444445,434.90722222222223,404.3827777777778,429.5916666666667,406.8261111111112,430.0916666666667,404.8827777777778,431.93500000000006,404.9827777777778,429.5916666666667
UCB1,2024-10-14,464.3744444444445,467.25305555555553,435.72861111111115,461.9375,438.17194444444453,462.4375,436.22861111111115,464.28083333333336,436.3286111111112,461.9375
UCB1,2024-10-15,502.5119444444445,503.19055555555553,471.66611111111115,497.875,474.10944444444453,498.375,472.16611111111115,500.21833333333336,472.2661111111112,497.875
UCB1,2024-10-16,536.3869444444445,535.0544444444445,504.03000000000003,529.7388888888889,506.4733333333334,530.2388888888889,504.53000000000003,532.0822222222223,504.63000000000005,529.7388888888889
UCB1,2024-10-17,568.965,569.1725,538.2480555555555,563.8569444444445,540.6913888888889,564.3569444444445,538.7480555555555,566.2002777777778,538.8480555555556,563.8569444444445
UCB1,2024-10-18,595.7125,597.92,565.9955555555555,592.6044444444444,568.4388888888889,593.1044444444444,566.4955555555555,594.9477777777778,566.5955555555555,592.6044444444444
UCB1,2024-10-19,625.3041666666667,628.2241666666666,596.7997222222222,622.9086111111111,599.2430555555555,623.4086111111111,597.2997222222222,625.2519444444445,597.3997222222222,622.9086111111111
UCB1,2024-10-20,660.7252777777778,664.2130555555556,630.998611111111,658.8975,633.4419444444444,659.3975,631.498611111111,661.2408333333334,631.598611111111,658.8975
UCB1,2024-10-21,696.0986111111112,699.6863888888889,666.4719444444444,694.3708333333334,668.9152777777778,694.8708333333334,666.9719444444444,696.7141666666668,667.0719444444444,694.3708333333334
UCB1,2024-10-22,737.6775,737.0875000000001,703.1341666666666,731.7719444444446,705.5775,732.2719444444446,703.6341666666666,734.1152777777779,703.7341666666666,731.7719444444446
UCB1,2024-10-23,786.8,785.3766666666668,751.9233333333333,780.0611111111112,754.3666666666667,780.5611111111112,752.4233333333333,782.4044444444446,752.5233333333333,780.0611111111112
UCB1,2024-10-24,817.5883333333333,816.2316666666668,782.4449999999999,810.9161111111113,784.8883333333333,811.4161111111113,782.9449999999999,813.2594444444446,783.045,810.9161111111113
UCB1,2024-10-25,845.8902777777777,848.3669444444446,812.5802777777777,843.051388888889,815.0236111111111,843.551388888889,813.0802777777777,845.3947222222224,813.1802777777777,843.051388888889
UCB1,2024-10-26,880.7974999999999,883.2741666666668,848.4875,877.9586111111113,850.9308333333333,878.4586111111113,848.9875,880.3019444444446,849.0875,877.9586111111113
UCB1,2024-10-27,912.7655555555555,916.0755555555558,880.2888888888889,910.7600000000002,882.7322222222223,911.2600000000002,880.7888888888889,913.1033333333336,880.8888888888889,910.7600000000002
UCB1,2024-10-28,949.5808333333332,956.6908333333336,918.9375,951.375277777778,921.3808333333334,951.875277777778,919.4375,953.7186111111114,919.5375,951.375277777778
UCB1,2024-10-29,990.4516666666665,996.5950000000003,959.4416666666666,991.2794444444447,961.885,991.7794444444447,959.9416666666666,993.6227777777781,960.0416666666667,991.2794444444447
UCB1,2024-10-30,1018.3336111111109,1022.9269444444446,987.0736111111111,1017.6113888888892,989.5169444444444,1018.1113888888892,987.5736111111111,1019.9547222222225,987.6736111111112,1017.6113888888892
UCB1,2024-10-31,1046.8745061728393,1050.6856172839507,1014.7211728395062,1045.3700617283953,1017.1645061728395,1045.8700617283953,1015.2211728395062,1047.7133950617285,1015.3211728395063,1045.3700617283953
UCB1,2024-11-01,1078.352561728395,1081.5625617283952,1045.3758950617284,1076.2470061728397,1047.8192283950618,1076.7470061728397,1045.8758950617284,1078.590339506173,1045.9758950617286,1076.2470061728397
