,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree Random,2024-11-14,1637.6848407974303,1608.2347655265805,1630.4980157155453,1666.0301974678757,1584.3264977009321,1624.1268068153186,1605.9108487654319,1649.7552747858401,1678.123370653817,1691.1417835097
MABTree Random,2024-11-15,1678.5366661942558,1656.9847754472155,1669.4037696837993,1712.4921419123202,1628.7181599584278,1665.313632212144,1646.451959876543,1696.9901160556815,1728.6175549571678,1735.8123390652556
MABTree Random,2024-11-16,1718.0033427815574,1701.2160673343408,1706.5842557949104,1745.078116339128,1659.981374244142,1689.735031021668,1681.241959876543,1742.285552563618,1763.0194994016124,1768.2997597001763
MABTree Random,2024-11-17,1763.0044538926686,1757.7803750944818,1762.8442083963214,1794.5549020534136,1711.666890117158,1733.8889199105568,1731.472445987654,1783.928052563618,1809.4669994016124,1823.2309501763668
MABTree Random,2024-11-18,1800.8472316704465,1810.6258071932473,1813.1436925233056,1845.6330766565882,1756.9958186885865,1778.3428087994457,1788.4191013164523,1832.561540217939,1856.5919994016124,1869.0469025573193
MABTree Random,2024-11-19,1850.8022316704464,1864.2429103678505,1867.4586925233057,1903.2364099899214,1807.6477234504912,1831.2630865772235,1838.8544187767698,1888.964626637692,1905.1458188460567,1928.2214263668432
MABTree Random,2024-11-20,1893.8855076845557,1919.0467992567394,1915.0036925233057,1951.5546639581753,1851.4666123393802,1877.412366622575,1893.8580298878808,1932.8287933043587,1961.0224855127235,1970.5046406525576
MABTree Random,2024-11-21,1949.6398683547498,1978.1465214789616,1972.3973829994961,2005.0618861803976,1913.790501228269,1947.5179221781307,1945.97437909423,1991.4382377488032,2038.397287100025,2024.3130136684306
MABTree Random,2024-11-22,2004.3241143864957,2026.8850431468882,2034.105795697909,2062.6734337994453,1974.5699456727134,2007.0539822688336,1996.471640998992,2044.0607079868985,2105.034787100025,2077.2321406525575
MABTree Random,2024-11-23,2048.1605032753846,2081.1372200176365,2089.9415595867977,2114.6597419060213,2024.9131542894934,2048.38695845931,2025.8169981418491,2094.5794480662635,2145.152009322247,2123.9391644620814
