,createdAt,reward,reward,reward,reward,reward,reward,reward,reward,reward,reward
MABTree ε-greedy MF,2024-11-06,1440.5589440035274,1435.7099513416474,1456.5863320420765,1443.4116950113385,1573.7350725938527,1401.9412844860167,1479.8068159486015,1385.8590189594354,1538.1926598324515,1431.6305890967499
MABTree ε-greedy MF,2024-11-07,1480.6943691735953,1472.5166973733935,1503.4851514865209,1482.4685090702953,1615.0813303099021,1450.9727351033007,1530.4782268833458,1426.9848522927687,1586.2065487213404,1478.3525335411944
MABTree ε-greedy MF,2024-11-08,1536.7089213277902,1525.7716973733936,1561.8278598198542,1531.7435090702954,1670.9266080876798,1504.7249573255228,1588.746431248425,1479.6622431657845,1640.1297630070546,1532.8733668745276
MABTree ε-greedy MF,2024-11-09,1570.3045562484251,1573.4717710695388,1596.3114695137317,1570.0824418934246,1713.5793164210131,1543.3138462144118,1620.6321058515996,1514.4014098324512,1687.283731261023,1565.9830890967498
MABTree ε-greedy MF,2024-11-10,1614.0531673595362,1622.8164139266817,1638.6333445137318,1608.8906901927444,1757.3473719765686,1579.1676656588563,1661.3004491055678,1552.8112213403876,1728.5992868165786,1611.5415499811036
MABTree ε-greedy MF,2024-11-11,1661.273445137314,1678.0937904698915,1693.6266778470651,1657.4627423469394,1806.638800547997,1623.4403739921897,1705.3904491055678,1601.8488403880067,1779.1146836419755,1663.4606472033258
MABTree ε-greedy MF,2024-11-12,1713.9891517069789,1741.5543403565127,1757.339058799446,1720.6807128684814,1866.9433608906527,1687.0595406588563,1756.8047587553535,1655.098471907281,1838.3057613693627,1720.6881824766945
MABTree ε-greedy MF,2024-11-13,1770.6241261967748,1793.0271181342905,1808.6210230851605,1775.0225382653068,1919.8895028659613,1747.4382254661125,1806.652586136306,1703.1644441295032,1893.4432613693627,1782.037349143361
MABTree ε-greedy MF,2024-11-14,1826.1418246094731,1847.5261260707985,1870.3933289241627,1822.710479024944,1969.2316060405644,1803.3928110040313,1861.2217117031994,1761.1516309208864,1945.253692208365,1831.2483412068532
MABTree ε-greedy MF,2024-11-15,1877.274273589065,1891.0648959120683,1914.5195987654324,1862.253404195012,2016.4595708931722,1833.8750949546486,1907.1995688460565,1802.018297587553,1993.9726604623334,1875.3433764802219
